7:29,224,1023,331,899,70405,302,2734,21911,2108£¬
18:32205,47812,63512,54038,534,43893,85561,32,17608,2429,
19:17,302,654,76,616,58,8,866,84,29,
36:2162,84,31412,10431,18497,12726,17665,18105,38599,15242,
37:103,12202,1370,1262,3521,4798,2980,7910,3476,25635,
41:2193,17,5421,3162,2597,5407,966,3213,6157,13302,
42:21949,3824,2597,3642,19666,7451,7558,1039,23010,131,
43:79299,17,302,654,76,616,58,8,866,84,
44:302,616,861,301,101,1772,76,1829,15,518,
45:17,302,654,76,616,58,8,866,84,29,
46:908,1102,736,354,1276,6450,4420,812,109,947,
59:9580,422,5567,19033,1987,2246,15,2998,1794,498,
60:302,84,29,3819,422,46892,51014,2097,726,116877,
69:787,61,5117,402,2233,62,563,138,3313,947,
70:302,736,1164,1822,3184,431,7011,74222,17,302,
94:27810,6894,65,119,353,1405,1473,1126,3093,14960,
106:84,226,736,101,29,554,224,1102,239,4413,
115:518,58,902,322,327,8,2200,285,138,94,
116:986,82524,19277,1744,881,113018,122555,75991,28396,2935,
142:61,32,8,364,554,861,301,1102,84,2018,
143:3231,483,394,5182,5117,50883,5026,4996,486,44282,
148:500,66439,6108,348,13544,30681,11242,8511,653,3939,
150:322,2024,483,6836,11459,1424,29,301,3703,4113,
156:2193,52773,67357,14728,15148,15254,15383,16505,18604,18700,
161:84,616,301,138,2200,1410,162,15,1287,1276,
171:302,6,650,1239,2626,73635,70,431,322,422,
172:58,861,76,407,13673,1305,1937,190,116,654,
174:38437,57606,19585,115036,91046,122852,109231,3233,4364,2233,
177:294,1127,17,22081,29,354,6281,6403,654,76,
196:29,736,650,1119,76,327,354,616,15,322,
202:58,302,354,1102,285,8,500,138,554,698,
211:122005,53187,12160,19749,7794,17,48958,106950,2193,17822,
217:31515,33777,3824,39505,21949,19003,18700,18604,167,16505,
220:7649,186,10178,22713,13192,39446,68179,7478,1342,15660,
223:58,518,322,302,354,901,654,84,4174,1462,
224:8935,80776,6408,44267,64543,61573,584,2582,39566,27004,
225:84,1187,302,57496,76,17,302,654,76,616,
228:17,302,654,76,616,58,8,866,84,29,
229:58,84,866,518,736,1102,101,1140,361,1119,
231:353,46726,654,899,17,302,654,76,616,58,
232:99135,86134,85366,83516,78975,77677,73208,62228,60364,5844,
238:9055,441,4856,13814,23959,22915,62328,42697,47138,25387,
241:29,1102,6,84,59691,873,8462,83935,66489,58,
245:80508,262,81,16786,62162,8588,14059,35859,12895,114452,
249:11159,13016,13576,1683,1690,1827,429,441,573,59662,
250:285,378,361,1119,2292,1193,4374,57052,65,6610,
253:189,6706,32031,49775,500,2194,6916,19697,19596,144,
257:17,554,356,138,354,3429,62,3323,394,285,
272:1102,6,65625,1133,13055,13522,27204,654,802,16869,
273:736,17,302,15583,2369,6599,10100,591,861,11459,
